,k,date,irr
0,Patricia Manor Place,2003-07-01,0.20993224123933518
0,Patricia Manor Place,2003-10-01,0.17170386867632104
0,Patricia Manor Place,2004-01-01,0.13296640972056606
0,Patricia Manor Place,2004-04-01,0.0870181238318084
0,Patricia Manor Place,2004-07-01,0.07380687267345576
0,Patricia Manor Place,2004-10-01,0.07660861527430018
0,Patricia Manor Place,2005-01-01,0.08845317692766175
0,Patricia Manor Place,2005-04-01,0.11203959564126542
0,Patricia Manor Place,2005-07-01,0.13662766338323395
0,Patricia Manor Place,2005-10-01,0.14229003197980705
0,Patricia Manor Place,2006-01-01,0.1619796886224365
0,Patricia Manor Place,2006-04-01,0.15748162132612809
0,Patricia Manor Place,2006-07-01,0.16761564289615238
0,Patricia Manor Place,2006-10-01,0.18491484217138687
0,Patricia Manor Place,2007-01-01,0.18446352341447692
0,Patricia Manor Place,2007-04-01,0.18069850738820992
0,Patricia Manor Place,2007-07-01,0.20027795627548817
0,Patricia Manor Place,2007-10-01,0.23452926723340162
0,Patricia Manor Place,2008-01-01,0.271462620594382
0,Patricia Manor Place,2008-04-01,0.3094476128542669
0,Patricia Manor Place,2008-07-01,0.33378950950442676
0,Patricia Manor Place,2008-10-01,0.38196385587836956
0,Patricia Manor Place,2009-01-01,0.42102769656185957
0,Patricia Manor Place,2009-04-01,0.43855111636750777
0,Patricia Manor Place,2009-07-01,0.4482443918917649
0,Patricia Manor Place,2009-10-01,0.4502262948351974
0,Patricia Manor Place,2010-01-01,0.42451684993517347
0,Patricia Manor Place,2010-04-01,0.39576951614630973
0,Patricia Manor Place,2010-07-01,0.3647515277898463
0,Patricia Manor Place,2010-10-01,0.33713633529894027
0,Patricia Manor Place,2011-01-01,0.3019238840024028
0,Patricia Manor Place,2011-04-01,0.2991989656595284
0,Patricia Manor Place,2011-07-01,0.3039277175902202
0,Patricia Manor Place,2011-10-01,0.30742354998281796
0,Patricia Manor Place,2012-01-01,0.3106253278759876
0,Patricia Manor Place,2012-04-01,0.319491220532901
0,Patricia Manor Place,2012-07-01,0.317859373805607
0,Patricia Manor Place,2012-10-01,0.3062123865404569
0,Patricia Manor Place,2013-01-01,0.3243088320091496
0,Patricia Manor Place,2013-04-01,0.33839981150376475
0,Patricia Manor Place,2013-07-01,0.3404699745564026
0,Patricia Manor Place,2013-10-01,0.3356526788156473
0,Patricia Manor Place,2014-01-01,0.3304317028366064
0,Patricia Manor Place,2014-04-01,0.3339521366134497
0,Patricia Manor Place,2014-07-01,0.3253717044086586
0,Patricia Manor Place,2014-10-01,0.315187920588041
0,Patricia Manor Place,2015-01-01,0.31844884230916315
0,Patricia Manor Place,2015-04-01,0.3079396268254522
0,Patricia Manor Place,2015-07-01,0.303760328442626
0,Patricia Manor Place,2015-10-01,0.3130216024841035
0,Patricia Manor Place,2016-01-01,0.3273219978214894
0,Patricia Manor Place,2016-04-01,0.3520714039848094
0,Patricia Manor Place,2016-07-01,0.3772098682361713
0,Patricia Manor Place,2016-10-01,0.38837366430335973
0,Patricia Manor Place,2017-01-01,0.3831908559195907
0,Patricia Manor Place,2017-04-01,0.37001517977263254
0,Patricia Manor Place,2017-07-01,0.3502637359673477
0,Patricia Manor Place,2017-10-01,0.32927000145348595
0,Patricia Manor Place,2018-01-01,0.2892571876458152
0,Patricia Manor Place,2018-04-01,0.25169952626810943
0,Patricia Manor Place,2018-07-01,0.23328820767872327
0,Patricia Manor Place,2018-10-01,0.21624697620581235
0,Patricia Manor Place,2019-01-01,
0,Patricia Manor Place,2019-04-01,
0,Patricia Manor Place,2019-07-01,
0,Patricia Manor Place,2019-10-01,
0,Patricia Manor Place,2020-01-01,
0,Patricia Manor Place,2020-04-01,
0,Patricia Manor Place,2020-07-01,
0,Patricia Manor Place,2020-10-01,
0,Patricia Manor Place,2021-01-01,
0,Patricia Manor Place,2021-04-01,
0,Patricia Manor Place,2021-07-01,
0,Patricia Manor Place,2021-10-01,
0,Patricia Manor Place,2022-01-01,
0,Patricia Manor Place,2022-04-01,
0,Patricia Manor Place,2022-07-01,
0,Patricia Manor Place,2022-10-01,
0,Patricia Manor Place,2023-01-01,
0,Patricia Manor Place,2023-04-01,
0,Patricia Manor Place,2023-07-01,
0,Patricia Manor Place,2023-10-01,
0,Regency - Tanglewood - Marquee - Wildwood,2003-07-01,0.2337612556367077
0,Regency - Tanglewood - Marquee - Wildwood,2003-10-01,0.17648298756616065
0,Regency - Tanglewood - Marquee - Wildwood,2004-01-01,0.12752000239126593
0,Regency - Tanglewood - Marquee - Wildwood,2004-04-01,0.0708303940334718
0,Regency - Tanglewood - Marquee - Wildwood,2004-07-01,0.05684392176625841
0,Regency - Tanglewood - Marquee - Wildwood,2004-10-01,0.029538885084758215
0,Regency - Tanglewood - Marquee - Wildwood,2005-01-01,0.03360028050611952
0,Regency - Tanglewood - Marquee - Wildwood,2005-04-01,0.06465879763013982
0,Regency - Tanglewood - Marquee - Wildwood,2005-07-01,0.0908090551573768
0,Regency - Tanglewood - Marquee - Wildwood,2005-10-01,0.1061282941878019
0,Regency - Tanglewood - Marquee - Wildwood,2006-01-01,0.12381211529950642
0,Regency - Tanglewood - Marquee - Wildwood,2006-04-01,0.1196818739615142
0,Regency - Tanglewood - Marquee - Wildwood,2006-07-01,0.12095228758237586
0,Regency - Tanglewood - Marquee - Wildwood,2006-10-01,0.12369159330997404
0,Regency - Tanglewood - Marquee - Wildwood,2007-01-01,0.11700680385772921
0,Regency - Tanglewood - Marquee - Wildwood,2007-04-01,0.08791109395564445
0,Regency - Tanglewood - Marquee - Wildwood,2007-07-01,0.14648386141889658
0,Regency - Tanglewood - Marquee - Wildwood,2007-10-01,0.1884536240184811
0,Regency - Tanglewood - Marquee - Wildwood,2008-01-01,0.23910179850864965
0,Regency - Tanglewood - Marquee - Wildwood,2008-04-01,0.27743254810153006
0,Regency - Tanglewood - Marquee - Wildwood,2008-07-01,0.32039920006628053
0,Regency - Tanglewood - Marquee - Wildwood,2008-10-01,0.379877240416683
0,Regency - Tanglewood - Marquee - Wildwood,2009-01-01,0.4077139527118918
0,Regency - Tanglewood - Marquee - Wildwood,2009-04-01,0.4299761663380517
0,Regency - Tanglewood - Marquee - Wildwood,2009-07-01,0.4386140945959911
0,Regency - Tanglewood - Marquee - Wildwood,2009-10-01,0.45455422784781163
0,Regency - Tanglewood - Marquee - Wildwood,2010-01-01,0.42893546202008204
0,Regency - Tanglewood - Marquee - Wildwood,2010-04-01,0.3894035681606751
0,Regency - Tanglewood - Marquee - Wildwood,2010-07-01,0.3541259795214349
0,Regency - Tanglewood - Marquee - Wildwood,2010-10-01,0.314358126689559
0,Regency - Tanglewood - Marquee - Wildwood,2011-01-01,0.27109457879265864
0,Regency - Tanglewood - Marquee - Wildwood,2011-04-01,0.2538271279411364
0,Regency - Tanglewood - Marquee - Wildwood,2011-07-01,0.2623872073873299
0,Regency - Tanglewood - Marquee - Wildwood,2011-10-01,0.27170665039639275
0,Regency - Tanglewood - Marquee - Wildwood,2012-01-01,0.28413267413423604
0,Regency - Tanglewood - Marquee - Wildwood,2012-04-01,0.32770940358191947
0,Regency - Tanglewood - Marquee - Wildwood,2012-07-01,0.30213771004222467
0,Regency - Tanglewood - Marquee - Wildwood,2012-10-01,0.3047533824979236
0,Regency - Tanglewood - Marquee - Wildwood,2013-01-01,0.3103904898450789
0,Regency - Tanglewood - Marquee - Wildwood,2013-04-01,0.32497189069634214
0,Regency - Tanglewood - Marquee - Wildwood,2013-07-01,0.3198798997440928
0,Regency - Tanglewood - Marquee - Wildwood,2013-10-01,0.3104549460621724
0,Regency - Tanglewood - Marquee - Wildwood,2014-01-01,0.33637730712172975
0,Regency - Tanglewood - Marquee - Wildwood,2014-04-01,0.29432449609598277
0,Regency - Tanglewood - Marquee - Wildwood,2014-07-01,0.2845350803315265
0,Regency - Tanglewood - Marquee - Wildwood,2014-10-01,0.2938637692500583
0,Regency - Tanglewood - Marquee - Wildwood,2015-01-01,0.29521107890086085
0,Regency - Tanglewood - Marquee - Wildwood,2015-04-01,0.27654864147862845
0,Regency - Tanglewood - Marquee - Wildwood,2015-07-01,0.2784265279795137
0,Regency - Tanglewood - Marquee - Wildwood,2015-10-01,0.28655562049226546
0,Regency - Tanglewood - Marquee - Wildwood,2016-01-01,0.30627983182126717
0,Regency - Tanglewood - Marquee - Wildwood,2016-04-01,0.32847787847277865
0,Regency - Tanglewood - Marquee - Wildwood,2016-07-01,0.3440763435576666
0,Regency - Tanglewood - Marquee - Wildwood,2016-10-01,0.34289016522085825
0,Regency - Tanglewood - Marquee - Wildwood,2017-01-01,0.3355082535034102
0,Regency - Tanglewood - Marquee - Wildwood,2017-04-01,0.3110478436814266
0,Regency - Tanglewood - Marquee - Wildwood,2017-07-01,0.2794911688223558
0,Regency - Tanglewood - Marquee - Wildwood,2017-10-01,0.24364059372033475
0,Regency - Tanglewood - Marquee - Wildwood,2018-01-01,0.2000262626011815
0,Regency - Tanglewood - Marquee - Wildwood,2018-04-01,0.15647354194885543
0,Regency - Tanglewood - Marquee - Wildwood,2018-07-01,0.14508497299635303
0,Regency - Tanglewood - Marquee - Wildwood,2018-10-01,0.12849445674897697
0,Regency - Tanglewood - Marquee - Wildwood,2019-01-01,
0,Regency - Tanglewood - Marquee - Wildwood,2019-04-01,
0,Regency - Tanglewood - Marquee - Wildwood,2019-07-01,
0,Regency - Tanglewood - Marquee - Wildwood,2019-10-01,
0,Regency - Tanglewood - Marquee - Wildwood,2020-01-01,
0,Regency - Tanglewood - Marquee - Wildwood,2020-04-01,
0,Regency - Tanglewood - Marquee - Wildwood,2020-07-01,
0,Regency - Tanglewood - Marquee - Wildwood,2020-10-01,
0,Regency - Tanglewood - Marquee - Wildwood,2021-01-01,
0,Regency - Tanglewood - Marquee - Wildwood,2021-04-01,
0,Regency - Tanglewood - Marquee - Wildwood,2021-07-01,
0,Regency - Tanglewood - Marquee - Wildwood,2021-10-01,
0,Regency - Tanglewood - Marquee - Wildwood,2022-01-01,
0,Regency - Tanglewood - Marquee - Wildwood,2022-04-01,
0,Regency - Tanglewood - Marquee - Wildwood,2022-07-01,
0,Regency - Tanglewood - Marquee - Wildwood,2022-10-01,
0,Regency - Tanglewood - Marquee - Wildwood,2023-01-01,
0,Regency - Tanglewood - Marquee - Wildwood,2023-04-01,
0,Regency - Tanglewood - Marquee - Wildwood,2023-07-01,
0,Regency - Tanglewood - Marquee - Wildwood,2023-10-01,
0,Sutton Place,2003-07-01,0.2241179968568574
0,Sutton Place,2003-10-01,0.17196285477486617
0,Sutton Place,2004-01-01,0.13472742771882684
0,Sutton Place,2004-04-01,0.08813785363928806
0,Sutton Place,2004-07-01,0.05389115258765731
0,Sutton Place,2004-10-01,0.052719630231947034
0,Sutton Place,2005-01-01,0.08259272568877551
0,Sutton Place,2005-04-01,0.10340318091033063
0,Sutton Place,2005-07-01,0.12501415155882056
0,Sutton Place,2005-10-01,0.13458252707434282
0,Sutton Place,2006-01-01,0.15424203174970885
0,Sutton Place,2006-04-01,0.14995882366246605
0,Sutton Place,2006-07-01,0.16555880326047911
0,Sutton Place,2006-10-01,0.1809209791015658
0,Sutton Place,2007-01-01,0.17657494203398882
0,Sutton Place,2007-04-01,0.1879796785507828
0,Sutton Place,2007-07-01,0.19488776595795287
0,Sutton Place,2007-10-01,0.22859190106785632
0,Sutton Place,2008-01-01,0.2613581997771275
0,Sutton Place,2008-04-01,0.308662921417147
0,Sutton Place,2008-07-01,0.3280451533338882
0,Sutton Place,2008-10-01,0.3774241847011828
0,Sutton Place,2009-01-01,0.42314688126350775
0,Sutton Place,2009-04-01,0.4388470635126722
0,Sutton Place,2009-07-01,0.4488516939735874
0,Sutton Place,2009-10-01,0.4462275602151524
0,Sutton Place,2010-01-01,0.42663274345538804
0,Sutton Place,2010-04-01,0.4006108000390758
0,Sutton Place,2010-07-01,0.3732030573247076
0,Sutton Place,2010-10-01,0.3463349331333865
0,Sutton Place,2011-01-01,0.31602562200110285
0,Sutton Place,2011-04-01,0.3082719814929218
0,Sutton Place,2011-07-01,0.31679189492675963
0,Sutton Place,2011-10-01,0.3175216651653614
0,Sutton Place,2012-01-01,0.32106795850088243
0,Sutton Place,2012-04-01,0.32571673000257984
0,Sutton Place,2012-07-01,0.32720828183269113
0,Sutton Place,2012-10-01,0.3266788495008268
0,Sutton Place,2013-01-01,0.3291126153516717
0,Sutton Place,2013-04-01,0.3324782891852489
0,Sutton Place,2013-07-01,0.34481363671386167
0,Sutton Place,2013-10-01,0.3509928440415926
0,Sutton Place,2014-01-01,0.3447127754667698
0,Sutton Place,2014-04-01,0.352438273300272
0,Sutton Place,2014-07-01,0.34699553214861134
0,Sutton Place,2014-10-01,0.3428351398442566
0,Sutton Place,2015-01-01,0.3405094015321908
0,Sutton Place,2015-04-01,0.33147164466673784
0,Sutton Place,2015-07-01,0.32883990773999416
0,Sutton Place,2015-10-01,0.3287656680123423
0,Sutton Place,2016-01-01,0.3369599304008428
0,Sutton Place,2016-04-01,0.36672495259488036
0,Sutton Place,2016-07-01,0.3834751588931935
0,Sutton Place,2016-10-01,0.38997452632229734
0,Sutton Place,2017-01-01,0.38828539240505
0,Sutton Place,2017-04-01,0.3750028017520277
0,Sutton Place,2017-07-01,0.3509295682168365
0,Sutton Place,2017-10-01,0.32502129293851434
0,Sutton Place,2018-01-01,0.2978804005071287
0,Sutton Place,2018-04-01,0.26191604659330525
0,Sutton Place,2018-07-01,0.22393966680180943
0,Sutton Place,2018-10-01,0.18681772540820551
0,Sutton Place,2019-01-01,
0,Sutton Place,2019-04-01,
0,Sutton Place,2019-07-01,
0,Sutton Place,2019-10-01,
0,Sutton Place,2020-01-01,
0,Sutton Place,2020-04-01,
0,Sutton Place,2020-07-01,
0,Sutton Place,2020-10-01,
0,Sutton Place,2021-01-01,
0,Sutton Place,2021-04-01,
0,Sutton Place,2021-07-01,
0,Sutton Place,2021-10-01,
0,Sutton Place,2022-01-01,
0,Sutton Place,2022-04-01,
0,Sutton Place,2022-07-01,
0,Sutton Place,2022-10-01,
0,Sutton Place,2023-01-01,
0,Sutton Place,2023-04-01,
0,Sutton Place,2023-07-01,
0,Sutton Place,2023-10-01,
0,Turks (Approx) - Miami S. Beach 5 stars,2003-07-01,0.405998928179079
0,Turks (Approx) - Miami S. Beach 5 stars,2003-10-01,0.3560766874332373
0,Turks (Approx) - Miami S. Beach 5 stars,2004-01-01,0.3142874209897937
0,Turks (Approx) - Miami S. Beach 5 stars,2004-04-01,0.2748042487975615
0,Turks (Approx) - Miami S. Beach 5 stars,2004-07-01,0.2624589488279414
0,Turks (Approx) - Miami S. Beach 5 stars,2004-10-01,0.21910997979422686
0,Turks (Approx) - Miami S. Beach 5 stars,2005-01-01,0.21926423041343712
0,Turks (Approx) - Miami S. Beach 5 stars,2005-04-01,0.23467462443385645
0,Turks (Approx) - Miami S. Beach 5 stars,2005-07-01,0.2435785039710252
0,Turks (Approx) - Miami S. Beach 5 stars,2005-10-01,0.2753312604164646
0,Turks (Approx) - Miami S. Beach 5 stars,2006-01-01,0.16250755933693295
0,Turks (Approx) - Miami S. Beach 5 stars,2006-04-01,0.15139404675865942
0,Turks (Approx) - Miami S. Beach 5 stars,2006-07-01,0.14794094785822098
0,Turks (Approx) - Miami S. Beach 5 stars,2006-10-01,0.14394628869899284
0,Turks (Approx) - Miami S. Beach 5 stars,2007-01-01,0.15788572398277467
0,Turks (Approx) - Miami S. Beach 5 stars,2007-04-01,0.1359509886286545
0,Turks (Approx) - Miami S. Beach 5 stars,2007-07-01,0.15323990596863957
0,Turks (Approx) - Miami S. Beach 5 stars,2007-10-01,0.19945582910721504
0,Turks (Approx) - Miami S. Beach 5 stars,2008-01-01,0.24941240335197512
0,Turks (Approx) - Miami S. Beach 5 stars,2008-04-01,0.29099073642469575
0,Turks (Approx) - Miami S. Beach 5 stars,2008-07-01,0.3400538787486216
0,Turks (Approx) - Miami S. Beach 5 stars,2008-10-01,0.3985667852746815
0,Turks (Approx) - Miami S. Beach 5 stars,2009-01-01,0.447770406816002
0,Turks (Approx) - Miami S. Beach 5 stars,2009-04-01,0.4683507748698512
0,Turks (Approx) - Miami S. Beach 5 stars,2009-07-01,0.476824075507408
0,Turks (Approx) - Miami S. Beach 5 stars,2009-10-01,0.4689405526475594
0,Turks (Approx) - Miami S. Beach 5 stars,2010-01-01,0.4476356993099708
0,Turks (Approx) - Miami S. Beach 5 stars,2010-04-01,0.41493078162538644
0,Turks (Approx) - Miami S. Beach 5 stars,2010-07-01,0.39417742168491343
0,Turks (Approx) - Miami S. Beach 5 stars,2010-10-01,0.3499324893389446
0,Turks (Approx) - Miami S. Beach 5 stars,2011-01-01,0.3195890080230872
0,Turks (Approx) - Miami S. Beach 5 stars,2011-04-01,0.3228359997374044
0,Turks (Approx) - Miami S. Beach 5 stars,2011-07-01,0.32981898465361303
0,Turks (Approx) - Miami S. Beach 5 stars,2011-10-01,0.34127464863921664
0,Turks (Approx) - Miami S. Beach 5 stars,2012-01-01,0.3193237539345979
